Title,Company,Location,Contract,Salary,Description
Consultant Data Analyst Débutant F/H - Septembre 2022,EY,92037 La Défense,CDI,Negotiable,Participer au développement de nouveaux outils d’analyse afin d’adapter nos solutions data à des secteurs d’activité spécifiques ;
Data Scientist pour l'Inspection Générale et l'Audit-(H/F),Société Générale,La Défense (92),CDI,Negotiable,"Rejoignez le Data Lab en qualité de ""Data Scientist"" et prenez part à des missions de l’Inspection Générale ou de l’Audit en priorité sur le périmètre Wholesale…"
"Computer Vision ML, Data scientist",Sightengine,Télétravail,CDI,Negotiable,"Architect, design and implement solutions to process and understand Images and Videos."
Data Scientist h/f,ÏDKIDS GROUP,59100 Roubaix,CDI,De 40 000 € à 50 000 € par an,"Présent dans 66 pays, ÏDKIDS compte plus de 1 200 magasins et 6 000 collaborateurs qui ont choisi de donner plus de sens à leur métier."
Graduate Program – Actuaire / Data Scientist (F/H),AXA,Suresnes (92),CDI,De 40 000 € à 50 000 € par an,"En tant qu’actuaire / data scientist, vous participerez à créer ou perfectionner nos modèles avec notamment des méthodologies en machine learning."
Data analyst,Le Groupe La Poste,Paris (75),CDI,Negotiable,Il sera amené également à travailler en direct avec le Chief Data Office de la branche pour développer des workflows de calcul des KPI de pilotage du…
DATA SCIENTIST,Carrefour France,91300 Massy,CDI,Negotiable,"Travailler avec différents profils data du groupe (data scientist, data engineer, data architect, data analyst)."
Data Scientist - Dataïku,Business & Decision,Nantes (44),None,Negotiable,"Analyser, recueillir les besoins du client."
Data Analyste / Géomaticien(ne),SNCF,Paris (75),None,Negotiable,École d’ingénieur ou en Master statistiques / analyse de données / data science.
Data Scientist Dataïku,DenAvel,Nantes (44),None,Negotiable,"De Bac+3 à BAC+5, vous justifiez d’une expérience réussie dans la data."
Data Scientist H/F,Seenovate,Télétravail hybride à Lyon (69),None,Negotiable,Explorer et décrire des données provenant de différentes sources.
Data Scientist F/H,Fnac Darty,94200 Ivry-sur-Seine,None,Negotiable,Nous recherchons un.e data scientist pour participer à la valorisation des données web du groupe au travers du développement (de la conception à la mise en…
Ingénieur Recherche Opérationnelle - Data Scientist H/F,Air France-KLM,Roissy-en-Brie (77),None,Negotiable,Statut cadre
Data Analyst H/F,Galeries Lafayette,75009 Paris,None,Negotiable,1.Faire parler la data pour aider à la prise de décision.
Data Scientist & Mapping Specialist (M/F),Airbus,31300 Toulouse,None,Negotiable,"And conversely, ability to translate business needs and user needs into language and concepts that other data scientists can understand and work with."
Data Scientist (H/F),FERRERO,Mont-Saint-Aignan (76),None,Negotiable,IT & Master data pour faciliter l'intégration des outils dans l'architecture de l'entreprise.
Analyste développeur - data scientist (H/F),EURO-INFORMATION DEVELOPPEMENTS,67000 Strasbourg,None,De 30 000 € à 50 000 € par an,Statut cadre
Data Scientist,Data Recrutement,Télétravail hybride à Paris (75),None,De 39 000 € à 46 000 € par an,Fonction Data scientist ml ia nlp dl.
Data Analyst / Scientist F/H,Safran,Toulouse (31),None,Negotiable,Should be configured to enable and optimize data utilization.
Data Scientist (h/f),EQINOV,Issy-les-Moulineaux (92),None,Negotiable,"Issy Les Moulineaux (Métro 8 et 12, RER C, bus, Tram T2 et T3)."
Data Scientist,Nova Consulting,Paris 4e (75),None,Negotiable,Vous intégrerez ce nouveau pôle composé de 2 à 3 data scientists.
Data Analyst confirmés (H/F),Smartpoint,Paris (75),None,Negotiable,"Et si vous êtes un data analyst confirmé, vous serez amené à former des profils davantage junior et / ou d'évoluer vers un poste de data scientist."
Data Scientist (H/F),Renault Group,Guyancourt (78),Temps plein,Negotiable,Réaliser des analyses statistiques/data science pour aider à mieux comprendre des problèmes « complexes » liés à la qualité et l’(in)satisfaction client.
Data Scientist Digital (M/F),Europcar Mobility Group,75017 Paris 17e,Temps plein,Negotiable,Be a key person and strong asset in the evolving data organization and specifically in the community of data scientists around the Group.
Consultant débutant en data sciences F/H - Paris,EY,92037 La Défense,Temps plein,Negotiable,"Une équipe de plus de 130 consultants data, aux profils très divers, permettant de couvrir l’ensemble des problématiques et de s’enrichir mutuellement."
