Title,Company,Location,Contract,Salary,Description
Développeur NodeJS Typescript (H/F),HR-TEAM,Paris (75),CDI,De 65 000 € à 70 000 € par an,Développement du projet en Node JS Typescript.
Développeur JavaScript H/F,Nexton Consulting FR,Lille (59),CDI,Negotiable,"Pour un de nos clients du retail travaillant sur son nouveau service de location par abonnement, vous avez en charge de co-créer avec une équipe de 5…"
Développeur(euse) Full Stack PHP/Javascript (H/F),TALENTS IT,"Paris 1er (75)
+ 1 lieu",CDI,De 40 000 € à 50 000 € par an,"Nous recrutons en CDI pour notre client basé à Paris, un(e) Web Développeur(se) Full-Stack PHP/Javascript."
Développeur front end Vue Js,ITSGROUP,Nantes (44),CDI,De 40 000 € à 45 000 € par an,"Compétences Backend Java EE (Webservice Rest, Java 8, OSGi) pour monter en compétences sur Liferay 7.3."
Développeur Delphi (H/F) / Freelanc,HR-TEAM,Paris (75),CDI,De 350 € à 400 € par jour,"Vous maitrisez le langage orienté objet DELPHI, le langage SQL, et un gestionnaire de versioning (type CVS, SVN, GIT, RTC...)."
Développeur Angular H/F,Cabinet Point RH,Nantes (44),CDI,Negotiable,Vous justifiez d'une première expérience en tant que développeur web.
Développeur React JS (H/F),RKS Consulting,Télétravail à Paris (75),CDI,Negotiable,Nous recherchons avant tout une personnalité.
Développeur Senior Delphi H/F,Savane,Nanterre (92),CDI,De 35 000 € à 60 000 € par an,"Notre client, un groupe français, leader français de la production électrique, recherche un profil de ’DEVELOPPEUR SENIOR DELPHI en vue de réaliser une…"
Développeur SQL/SSIS (H/F),Pôle Emploi,"78180 Montigny-le-Bretonneux
+ 1 lieu",CDI,De 38 000 € à 44 000 € par an,Concevoir et développer les programmes et applications informatiques.
Développeur Android JUNIOR H/F,HR-TEAM,Paris (75),CDI,De 40 000 € à 50 000 € par an,Participer aux développements en utilisant le SDK Android.
Développeur & analyste de données géophysiques (H/F),CNRS,La Rochelle (17),CDI,De 2 200 € à 2 500 € par mois,Assurez-vous que votre profil candidat soit correctement renseigné avant de postuler.
Développeur PHP / VueJS H/F,HR-TEAM,Paris (75),CDI,De 45 000 € à 60 000 € par an,Concevez et réalisez les développements sous PHP 7/ 8 - VueJS.
Développeur(se) Cobol / Freelanc,Accelite,Paris (75),CDI,De 300 € à 500 € par jour,
Développeur / développeuse tests automatisés (H/F),Pôle Emploi,92120 Montrouge,35 000 € par an,35 000 € par an,Statut cadre
Développeur(euse) Back-End (H/F),TALENTS IT,Paris 1er (75),35 000 € par an,De 60 000 € à 70 000 € par an,Notre client est un éditeur de logiciel.
Développeur Javascript H/F,Accenture,44800 Saint-Herblain,35 000 € par an,Negotiable,Saint-Herblain Accenture CDI Informatique Développeur Javascript.
Développeur C# Ile de France (92) (H/F),OTTEO,Paris (75),35 000 € par an,De 40 000 € à 60 000 € par an,"Vous accompagnerez notre client, grand groupe dans le secteur de l’énergie, situé en Ile de France (92)."
Développeur GED Alfresco - H/F,Seyos,Nantes (44),35 000 € par an,De 35 000 € à 50 000 € par an,"Dans le cadre d'une forte croissance suite aux gains de plusieurs appels d'offres, l'entreprise cherche à renforcer son pôle développement avec le recrutement d…"
Développeur Full Stack junior H/F,IFT - Investissement dans la Fibre des Territoires,75008 Paris 8e,35 000 € par an,Negotiable,Vous avez déjà travaillé en tant que développeur Full Stack sur l’environnement Linux.
Développeur Informix 4GL / Freelanc,STAR TEC INFORMATIQUE,Paris (75),35 000 € par an,De 400 € à 550 € par jour,
Développeur Web,Webnet,Paris (75),35 000 € par an,Negotiable,Vous participez aux phases amonts des projets telles que :
Développeur Full Stack (H/F),ARTEMYS,Le Havre (76),35 000 € par an,De 30 000 € à 35 000 € par an,Réutiliser la charte graphique développée par l'UX/UI.
Développeur(se) Cobol,Accelite,Paris (75),35 000 € par an,De 40 000 € à 50 000 € par an,"80 : analyse technique, coding, tests unitaires."
Développeur Web « Pure player »,INNOVANTIC,33700 Mérignac,35 000 € par an,Negotiable,"Notre équipe se structure en 5 Teams : Design / Front web / Android / iOS / Serveur, toutes parfaitement spécialisées dans leur domaine d'expertise."
Développeur Front JavaScript/CSS/HTML,Timmxware,Montreuil (93),35 000 € par an,Negotiable,Vous avez au minimum 2 ans d'expérience en tant que développeur Web.
Développeur GoLang / Freelanc,GROUPE HN,Paris (75),35 000 € par an,De 450 € à 600 € par jour,
Développeur Back End NodeJS / Freelanc,Next Mondays,Gennevilliers (92),35 000 € par an,De 400 € à 550 € par jour,C'est une mission full Back end en NodeJS (si vous avez des compétences en Typescript c'est un plus) dans un environnement AWS.
Développeur Scala Editeursaas 80% Remote H/F,Externatic,Télétravail à Nantes (44),35 000 € par an,De 37 000 € à 45 000 € par an,"Expert du recrutement IT avec un réseau construit depuis plus de 10 ans, nos équipes de consultants accélèrent vos recherches, que vous soyez candidats ou…"
Développeur Scala Editeursaas 80% Remote H/F,Externatic,Télétravail à Nantes (44),De 37 000 € à 45 000 € par an,De 37 000 € à 45 000 € par an,"Expert du recrutement IT avec un réseau construit depuis plus de 10 ans, nos équipes de consultants accélèrent vos recherches, que vous soyez candidats ou…"
Développeur / Développeuse Mainframe : Reconversion informatique & CDI,Sardel Conseil,93160 Noisy-le-Grand,De 37 000 € à 45 000 € par an,De 27 000 € à 31 000 € par an,"Le développement et l’évolution d’applications et d’outils nouveaux, sur des projets d’évolution/refonte de SI, de mutualisation de données ou d’optimisation et…"
Développeur C#,XRAYS Trading,Paris (75),De 37 000 € à 45 000 € par an,5 000 € par mois,"Issu-e d’une formation supérieure en informatique, tu codes en C# sur environnements ."
Développeur C#.NET (F/H),Altea,Télétravail,De 37 000 € à 45 000 € par an,De 42 000 € à 52 000 € par an,"NET, junior ou expérimenté.e (F/H) en full remote."
"Développeur Fullstack / Frontend (Typescript/Reactjs, GraphQL) - Full remote possibl",Twenty One Talents,Télétravail à Paris (75),De 37 000 € à 45 000 € par an,De 45 000 € à 75 000 € par an,"En nous rejoignant, tu intégreras une équipe en full télétravail, dynamique, soudée et à l’écoute les uns des autres."
Développeur Angular (F/H) - Tours,Sii,Tours (37),De 37 000 € à 45 000 € par an,De 35 000 € à 47 000 € par an,"Dans l’idéal, tu as au moins 2 ans d’expérience sur un projet similaire."
Développeur Mobile H/F,ALBEARSON,Sucé-sur-Erdre (44),De 37 000 € à 45 000 € par an,Negotiable,Sucé-sur-Erdre ALBEARSON CDD Informatique Développeur mobile.
Développeur(se) C++ (H/F),TALENTS IT,Paris 1er (75),De 37 000 € à 45 000 € par an,De 40 000 € à 90 000 € par an,"Nous recrutons en CDI pour notre client basé à Paris, un(e) Développeur(se) C++."
Développeur / Développeuse web,Pôle Emploi,"77127 Lieusaint
+ 1 lieu",De 37 000 € à 45 000 € par an,33 000 € par an,
Web Développeur(euse) (H/F),TALENTS IT,Paris 1er (75),De 37 000 € à 45 000 € par an,De 40 000 € à 70 000 € par an,Notre client est une société spécialisée dans les technologies médicales dernière génération.
Développeur Front Angular - H/F,MONGA,92600 Asnières-sur-Seine,De 37 000 € à 45 000 € par an,38 000 € par an,"Développeur Frontend, Frontend Developer / CDI / Environ 38k€ / 0 - 2 ans / Asnières-sur-Seine."
Développeur web front-end (F/H),Horoquartz,Saint-Herblain (44),De 37 000 € à 45 000 € par an,Negotiable,Saint-Herblain Horoquartz CDI Informatique Développeur web.
Développeur back-end H/F,VIVERIS,Lille (59),De 37 000 € à 45 000 € par an,De 30 000 € à 50 000 € par an,"Qualification : Elaborer les jeux d'essais pour les tests, effectuer les tests unitaires, identifier et traiter les dysfonctionnements."
