Title,Company,Location,Contract,Salary,Description
Développeur.euse Web - LILLE F/H,Capgemini,59000 Lille,"Temps plein
+1",Negotiable,Définir et réaliser des tests.
Devops (H/F),Insitoo,Lille (59),"Temps plein
+1",Negotiable,Installer et maintenir en conditions opérationnelles des stacks tech (cloud).
Stage en développement REACT / AWS / DEVOPS (f/h),Airbus,31707 Blagnac,"Temps plein
+1",Negotiable,"Dans le cadre d'un cursus scolaire en formation initiale , vous recherchez un stage obligatoire ou intégré dans une année de césure , d'une durée de 6 mois…"
ALTERNANCE - Ingénieur en management de projet H/F,Société du Grand Paris,93200 Saint-Denis,"Temps plein
+1",Negotiable,"Sous la supervision de votre tuteur et en étroite collaboration avec les équipes du plateau projet, vous participez à la réalisation des activités de gestion du…"
DevOps F/H,Galitt,La Défense (92),"Temps plein
+1",Negotiable,L’objectif du stage sera de déployer et configurer les outils DevOps (principalement Kubernetes et GitLab CI/CD) pour accélérer la transformation des modes d…
Ingénieur DevOps en POEI H/F,OPEN,Rennes (35),"Temps plein
+1",Negotiable,Nous nous engageons à vos côtés pour réussir cette transition professionnelle !
Ingénieur Devops,Mosica,Niort (79),"Temps plein
+1",Negotiable,Missions d'exploitation sur des environnements Linux.
DEVOPS ENGINEER - FULL REMOTE,Harnham,Télétravail à Paris (75),"Temps plein
+1",De 50 000 € à 65 000 € par an,Cette start up développe une plateforme SaaS prédictive grâce à l'IA et au Machine Learning permettant à ses clients d'optimiser leurs infrastructures.
Stage Ingénieur DevOps,GE Healthcare,78533 Buc,"Temps plein
+1",Negotiable,L’organisation AV (Advanced Vizualisation) de GE Healthcare développe des solutions logicielles dans le domaine de l’imagerie médicale depuis plus de trente ans…
Ingénieur Devops H/F,Accenture,Nantes (44),"Temps plein
+1",Negotiable,Nantes Accenture CDI Informatique Ingenieur devops.
Lead Devops Engineer H/F,Airbus,31300 Toulouse,"Temps plein
+1",Negotiable,Vous rejoindrez l'équipe Digital Office s'occupant des opérations de notre plateforme digitale OneAtlas sur le cloud public et de certains systèmes déployés on…
Devops / Freelanc,SELFING,Saint-Rémy-lès-Chevreuse (78),"Temps plein
+1",De 500 € à 550 € par jour,
Ingénieur DevOps H/F,Colas,78140 Vélizy-Villacoublay,"Temps plein
+1",Negotiable,"Vous devrez concevoir, construire et déployer l’ensemble des briques nécessaires à la chaîne d’outils devops (CI/CD, automatisation, supervision, documentation,…"
Intégrateur Frontend HTML/CSS CDI Paris Expérimenté Voir,CACD2,Paris (75),CDI,Negotiable,"Nous vous proposons d’intégrer une équipe de 50 personnes composée de Développeurs, Designers, Coach Agile et de Product Owner."
Ingénieur DevOps H/F,IBM,Lille (59),CDI,Negotiable,Une carrière chez IBM Consulting englobe des relations à long terme et une collaboration étroite avec des clients du monde entier.
Release and Build Specialist / DevOps (W/M/NB),Ubisoft,Bordeaux (33),CDI,Negotiable,"Aujourd'hui, le studio compte plus de 400 talents, issus de 15 nationalités différentes, qui travaillent sur des licences telles que Assassin’s Creed, Beyond…"
Stage ingénieur DevOps (F/H),Capgemini,31036 Toulouse,CDI,Negotiable,"Participer au design et au build de solutions DevOps et notamment sur les aspects : Continuous Integration, Continuous Deployment, Continuous Testing,…"
DevOps H/F,FAYAT ENERGIE SERVICES,Rueil-Malmaison (92),CDI,Negotiable,"Participer au développement des scripts d'automatisation pour le déploiement des infras Réseaux/Collab/Sécu,."
DevOps Engineer - (F/H),Micropole,44000 Nantes,CDI,Negotiable,Le Manager de l'équipe Conseil de Micropole Ouest recherche actuellement un ingénieur DevOps (F/H) pour compléter son équipe déjà composée de 10 Experts en…
Stage ingénieur DevOps RCP (F/H),Airbus,31300 Toulouse,CDI,Negotiable,"Dans le cadre d'un cursus scolaire en formation initiale , vous recherchez un stage obligatoire ou intégré dans une année de césure , d'une durée allant de 4 à…"
DevOps Engineer Inter,Criteo,75009 Paris 9e,CDI,Negotiable,"They keep our products running using a broad selection of technologies, like large scale data compute & storage services (Hadoop, SQL & NoSQL), streaming (Kafka…"
Alternance Ingénieur Travaux - MIGNE-AUXANCES (86),SPIE,Migné-Auxances (86),CDI,Negotiable,Des professionnels qui se révèlent dans la diversité de leurs missions et de leurs métiers.
Ingénieur DevOps H/F,Inetum,"Sophia Antipolis (06)
+ 12 lieux",CDI,Negotiable,"Plusieurs postes ouverts (junior comme senior) : · Curieux, motivé, flexible, autonome et ouvert d'esprit · Comprendre et parler l'anglais (on ne demande pas d…"
DevOps / Freelanc,Groupe Aptenia,Paris (75),CDI,Negotiable,
Ingenieur DevOps F/H,Civils de la Défense,Télétravail à Paris 15e (75),CDI,De 3 230 € à 3 530 € par mois,"Piloter un ou plusieurs projets de développement informatique agiles dans leurs différents aspects (opérationnel, technique et financier) jusqu’à leur transfert…"
Ingénieur DevOps et Cloud junior SOPHIA-ANTIPOLIS H/F,Capgemini,Sophia Antipolis (06),CDI,Negotiable,Capgemini accompagne les entreprises pour faire de leurs infrastructures un accélérateur de transformation digitale.
Consultant Devops H/F,"Smile, Open Source Solutions",Nantes (44),CDI,Negotiable,"Dans le cadre de nos missions DevOps, notre agence de Nantes propose des solutions novatrices en constante évolution."
DevOps Engineer,IBM,Lille (59),CDI,Negotiable,"Participation in technical design, macro architecture, technical proposals."
Devops AWS (H/F) / Freelanc,HR-TEAM,Paris (75),De 500 € à 600 € par jour,De 500 € à 600 € par jour,"Le CMS Cléo a été conçu en étant Cloud Native et exploite au maximum les outils et bonnes pratiques recommandés par AWS : Serverless (Lambda, Dynamo, Kinesis…"
Ingénieur(e) DevOps,Solutec,Paris (75),De 500 € à 600 € par jour,Negotiable,"SOLUTEC, ESN spécialisée en informatique de gestion, offre à ses clients depuis 1991 son expertise technique et son savoir-faire sur des projets d'études et de…"
Intégrateur HTML,Alteo,Paris (75),De 500 € à 600 € par jour,Negotiable,"Et ceci dans tous les domaines d'activité (beauté/ cosmétique, immobilier, éducation, environnement, santé , industrie, etc)."
Ingénieur d'études R&D DevOps - Jeune docteur (H/F),"Smile, Open Source Solutions",Paris (75),De 500 € à 600 € par jour,Negotiable,"La documentation des travaux (documentation technique, articles académiques, billets de blog);"
Développeurs web (Junior/Senior) - (H/F),Webcompetence,Le Raincy (93),De 500 € à 600 € par jour,Negotiable,"Diplômés BAC+2 à +5 (selon expérience, statut et poste), une connaissance poussée des technologies que nous utilisons n’est pas indispensable, nous privilégions…"
Alternance Ingénieur DevOps PARIS H/F,Capgemini,Paris (75),De 500 € à 600 € par jour,Negotiable,"Découvrir différents secteurs d’activité (télécom, transport, secteur public, bancaire…),."
Stages ingénieurs 6 mois – Bac+5/+4 – Cloud et Devops,alfa-safety,Nantes (44),De 500 € à 600 € par jour,Negotiable,Les outils et méthodes de Monitoring des équipements.
DevOps,Mindigital,Montpellier (34),De 500 € à 600 € par jour,De 40 000 € à 50 000 € par an,Créée il y a maintenant 4 ans cette startup est spécialisée dans la data.
Ingénieur-e d’étude pour l’analyse des performances agroécologiques des systèmes viticoles,INRAE,33140 Villenave-d'Ornon,De 500 € à 600 € par jour,2 105 € par mois,"Par ailleurs, vous serez en charge du suivi des observations et mesures réalisées par l’équipe technique."
DevOps H/F [22-24],Railenium,"Télétravail à Valenciennes (59)
+ 1 lieu",De 500 € à 600 € par jour,Negotiable,"Pour renforcer nos équipes, nous recherchons un ingénieur en informatique de type DevOps."
