Title,Company,Location,Contract,Salary,Description
Stage - DevOps,Kitware,Lyon (69),De 40 000 € à 45 000 € par an,Negotiable,"Directement intégré aux équipes d’ingénieurs R&D, vous apporterez un soutien technique et opérationnel complémentaire aux ingénieurs et aux chefs de projet."
Ingénieur Devops,INFORMATIS TS,92100 Boulogne-Billancourt,De 40 000 € à 45 000 € par an,De 50 000 € à 60 000 € par an,"Mettre en place des tests automatisés (unitaires / intégration / performance / sécurité),."
DevOps H/F,Esker,Lyon (69),De 40 000 € à 45 000 € par an,Negotiable,"Dans les data centers Azure du monde entier en utilisant Ansible et Terraform,."
Reconversion Ingénieur - Devops - Nantes H/F,Steria,Nantes (44),De 40 000 € à 45 000 € par an,Negotiable,"Fort de 46 000 collaborateurs dans près de 30 pays, le Groupe place l'humain au centre de son action pour construire un avenir positif."
Développeur Web,Webnet,Paris (75),De 40 000 € à 45 000 € par an,Negotiable,Vous participez aux phases amonts des projets telles que :
Ingénieur DevOps h/f,Siemens Digital Industries Software,38330 Montbonnot-Saint-Martin,De 40 000 € à 45 000 € par an,Negotiable,Statut cadre
Devops F/H,Apollo SSC,Grenoble (38),De 40 000 € à 45 000 € par an,De 38 000 € à 45 000 € par an,"Depuis 2004 nous avons constitué une équipe de plus de 90 passionnés ayant des compétences en Microsoft, JAVA, JS, PO, UX/UI Design, Tests."
Ingénieur d'études Devops - Kubernetes H/F,Viveris,92100 Boulogne-Billancourt,De 40 000 € à 45 000 € par an,Negotiable,Nos équipes s'appuient sur un groupe d'experts devops qui maitrisent nos outils (open source) et interviennent en transverse sur l'ensemble de nos projets.
Concepteur Devops F/H,ANSSI,Télétravail à Invalides (75),De 40 000 € à 45 000 € par an,Negotiable,"Proposer et mettre en place des outils et processus d’automatisation du cycle de développement et de déploiement logiciel (suivi de version, orchestration,…"
DEVOPS & Outils : Découplage de librairies et performance F/H,Esker,Lyon (69),De 40 000 € à 45 000 € par an,Negotiable,"Esker développe un produit modulaire, Esker On Demand, construit et déployé régulièrement en production."
Ingénieur∙e DevOps - Nantes H/F,Credit Agricole,Nantes (44),De 40 000 € à 45 000 € par an,Negotiable,
Ingénieur DevOps H/F,SYD,92700 Colombes,De 40 000 € à 45 000 € par an,Negotiable,"Le conseil (Accompagnement de projet, Infrastructure Management)."
"Administrateur systèmes, réseaux et sécurité",HR-TEAM,Lille (59),De 40 000 € à 45 000 € par an,De 40 000 € à 45 000 € par an,Etes garant des composants techniques de votre périmètre et en vous en assurez la cohérence et la sécurité des environnements.
DevOps H/F,Viveris,"59800 Lille
+ 1 lieu",De 40 000 € à 45 000 € par an,Negotiable,Viveris pilote les chantiers de transformation métier et IT du secteur Retail.
